"A fully-integrated payment experience","Une expérience de paiement entièrement intégrée"
"Accept debit/credit cards with Payment Services","Accepter les cartes de débit/crédit avec les Payment Services"
"Accept popular payment methods—credit/debit cards, PayPal, Apple Pay, Google Pay, and Venmo—and deliver your customers a smooth checkout experience.","Acceptez les méthodes de paiement les plus courantes (cartes de crédit/débit, PayPal, Apple Pay, Google Pay et Venmo) et offrez à vos clients une expérience de paiement fluide."
"Advanced financial reporting capabilities","Fonctionnalités avancées de reporting financier"
"Close","Fermer"
"Competitive processing fees","Frais de traitement compétitif"
"Configure","Configurer"
"Designed for Adobe Commerce and Magento Open Source merchants of all sizes, Payment Services delivers:","Conçus pour les vendeurs Adobe Commerce et Magento Open Sources de toutes tailles, les services de paiement offrent :"
"Designed for Adobe Commerce merchants of all sizes, Payment Services delivers:","Conçus pour les commerçants Adobe Commerce de toutes tailles, les services de paiement offrent :"
"Designed for Magento Open Source merchants of all sizes, Payment Services delivers:","Conçu pour les commerçants Magento Open Sources de toutes tailles, Payment Services offre :"
"Enable","Activer"
"General Configuration","Configuration générale"
"If you have product questions or need help with setup, follow this link and fill out the form","Si vous avez des questions sur le produit ou si vous avez besoin d'aide pour la configuration, suivez ce lien et remplissez le formulaire"
"Method","Méthode"
"Pay with Apple Pay","Payer avec Apple Pay"
"Pay with PayPal","Payer avec PayPal"
"Pay with credit card","Payer par carte de crédit"
"Payment Services","Services de paiement"
"Payment Services is your turnkey integrated solution for providing secure payment processing, robust reporting, and optimized online order payments.","Payment Services est votre solution intégrée clé en main pour fournir un traitement des paiements sécurisé, un reporting robuste et des paiements de commande en ligne optimisés."
"Production","Production"
"Production Merchant ID","ID du commerçant de production"
"Recommended Solutions:","Solutions recommandées :"
"Sandbox","Sandbox"
"Sandbox Merchant ID","ID du commerçant Sandbox"
"Secure and up-to-date extension with SaaS","Extension sécurisée et à jour avec SaaS"
"Secure transaction","Transaction sécurisée"
